שם בנק,שם סניף,כתובת,שכונה / עיר,תאריך סגירה,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",שיכון הותיקים,"רש""י 33 ",רמת גן,22/12/2014,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",רמת יצחק,שדרות ירושלים 29-31 ,רמת גן,24/12/2014,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",שלוחת מטולה,הראשונים 49 ,מטולה,29/12/2014,,,,,,,,,,,,,,,
"הבנק הבינלאומי הראשון לישראל בע""מ",ממילא,ממילא 5 ,ירושלים,31/12/2014,,,,,,,,,,,,,,,
"בנק מזרחי טפחות בע""מ",שלוחת חזון איש,חזון איש 9 ,בני ברק,29/12/2014,,,,,,,,,,,,,,,
"בנק דיסקונט לישראל בע""מ",מרכז עסקים דן,אבא הלל סילבר 12 ,רמת גן,23/12/2014,,,,,,,,,,,,,,,
"בנק הפועלים בע""מ",הקסטל,אבן גבירול 161 ,תל אביב -יפו,16/12/2014,,,,,,,,,,,,,,,
"בנק דיסקונט לישראל בע""מ","דיסקונט בדרך שלך קמפוס ת""א",אוניברסיטת תל אביב,,31/12/2014,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",עסקים אלונים,יגאל אלון 65,תל אביב -יפו,09/01/2015,,,,,,,,,,,,,,,
"בנק דיסקונט לישראל בע""מ",מלחה,אגודת ספורט הפועל 1,ירושלים,23/01/2015,,,,,,,,,,,,,,,
"יובנק בע""מ",חיפה,הבנקים 3 ,חיפה,22/02/2015,,,,,,,,,,,,,,,
"בנק מזרחי טפחות בע""מ",שערי צדק,בית חולים שערי צדק,ירושלים,03/02/2015,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",אורנית,הערבה 1 ,אורנית,18/02/2015,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",היכל התרבות,מרמורק 4 ,תל אביב -יפו,11/03/2015,,,,,,,,,,,,,,,
"בנק הפועלים בע""מ",הדקל,גרינבוים 41 ,תל אביב -יפו,11/03/2015,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",ככר ציון,יפו 47,ירושלים,25/03/2015,,,,,,,,,,,,,,,
"הבנק הבינלאומי הראשון לישראל בע""מ",קרית המלאכה,קיבוץ גלויות 71 ,תל אביב -יפו,31/03/2015,,,,,,,,,,,,,,,
"בנק הפועלים בע""מ",חזון איש,חזון איש 15,בני ברק,18/03/2015,,,,,,,,,,,,,,,
"יובנק בע""מ",ראשון לציון,ילדי טהרן 5 ,ראשון לציון,31/03/2015,,,,,,,,,,,,,,,
"בנק הפועלים בע""מ",משמר השרון,,משמר השרון,18/03/2015,,,,,,,,,,,,,,,
"בנק דיסקונט לישראל בע""מ",אבן גבירול,אבן גבירול 164 ,תל אביב -יפו,16/04/2015,,,,,,,,,,,,,,,
"בנק מזרחי טפחות בע""מ",שלוחת טרפון,ירושלים 24 ,בני ברק,17/05/2015,,,,,,,,,,,,,,,
"בנק מרכנתיל דיסקונט בע""מ",ככר רבין,פרישמן 77 ככר יצחק רבין,תל אביב -יפו,01/05/2015,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",הגליל,הגליל 76 נוה-שאנן,חיפה,27/05/2015,,,,,,,,,,,,,,,
"בנק הפועלים בע""מ",נוה חן,סנפיר 10 ,תל אביב -יפו,16/06/2015,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",קריית שדה התעופה,רחוב הערבה,לוד,24/06/2015,,,,,,,,,,,,,,,
"בנק מסד בע""מ",יפו,יפת 95 ,תל אביב -יפו,30/06/2015,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",צמרת,נסים אלוני 10 ,תל אביב -יפו,17/06/2015,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",ככר המושבות,אלנבי 119 ,תל אביב -יפו,15/07/2015,,,,,,,,,,,,,,,
"בנק דיסקונט לישראל בע""מ",בן יהודה,בן יהודה 71 ,תל אביב -יפו,23/07/2015,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",טשרניחובסקי,טשרניחובסקי 2 כרמל צרפתי,חיפה,29/07/2015,,,9263,,,,,,,,,,,,
"בנק הפועלים בע""מ",אוניברסיטת חיפה,אוניברסיטת חיפה,חיפה,30/07/2015,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ","בנקאות פרטית בינלאומית 718 ת""א",דיזינגוף 55 ,תל אביב -יפו,17/07/2015,,,,,,,,,,,,,,,
"בנק דיסקונט לישראל בע""מ",שנקר,שנקר 4 ,הרצלייה,13/08/2015,,,,,,,,,,,,,,,
"בנק דיסקונט לישראל בע""מ",אלנבי,אלנבי 76 ,תל אביב -יפו,03/09/2015,,,,,,,,,,,,,,,
"הבנק הבינלאומי הראשון לישראל בע""מ",יובנק - הנהלה,שדרות רוטשילד 38 ,תל אביב -יפו,30/09/2015,,,,,,,,,,,,,,,
"בנק הפועלים בע""מ",רמת יצחק,שד' ירושלים 21 ,רמת גן,05/10/2015,,,,,,,,,,,,,,,
"בנק הפועלים בע""מ",מגדיאל,דרך מגדיאל 54 ,הוד השרון,13/10/2015,,,,,,,,,,,,,,,
"בנק הפועלים בע""מ",העליה,לוינסקי 69 ,תל אביב -יפו,27/10/2015,,,,,,,,,,,,,,,
"בנק הפועלים בע""מ",בית דגן,מנחם בגין 5 ,בית דגן,29/10/2015,,,,,,,,,,,,,,,
"בנק הפועלים בע""מ",אשדוד ים,"שבט לוי 14 רובע י""ב",אשדוד,15/10/2015,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",שלוחת מגדיאל,סוקולוב 12 ,הוד השרון,13/10/2015,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",עסקים קרית אריה,ז'בוטינסקי 110 ,פתח תקווה,14/10/2015,,,,,,,,,,,,,,,
"בנק הפועלים בע""מ",טוביהו,שד' ירושלים 42 ,באר שבע,08/10/2015,,,,,,,,,,,,,,,
"בנק הפועלים בע""מ",מודיעין עילית,"שד' יחזקאל 2 שד' יחזקאל 2, מודיעין עילית",מודיעין עילית,05/10/2015,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",כיכר השבטים,שבט לוי 16 ,אשדוד,21/10/2015,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",טרומפלדור,בן יהודה 29 ,תל אביב -יפו,18/11/2015,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",שלוחת המכללה למנהל,יצחק רבין 7 ,ראשון לציון,30/11/2015,,,,,,,,,,,,,,,
"בנק פועלי אגודת ישראל בע""מ",שלוחת משכנתאות חזון איש,חזון איש 42 ,בני ברק,26/11/2015,,,,,,,,,,,,,,,
"בנק הפועלים בע""מ",שמואל הנציב,שמואל הנציב 28 ,נתניה,10/12/2015,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",קרית ביאליק,שדרות ירושלים 18 ,קריית ביאליק,23/12/2015,,,3220,,,,,,,,,,,,
"הבנק הבינלאומי הראשון לישראל בע""מ",קרית אריה,שנקר 12 ,פתח תקווה,31/12/2015,,,,,,,,,,,,,,,
"בנק הפועלים בע""מ",הלפיד,בן גוריון 38 ,רמת גן,08/12/2015,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",בית אבות דור כרמל,גדליהו 1,חיפה,31/12/2015,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ","בית אבות ""נופים""",סולד 2,ירושלים,31/12/2015,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ","בית אבות ""הוד""",גואטמלה 3 ,ירושלים,31/12/2015,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ","בית אבות ""נופי גילה""",אונטרמן 5 ,ירושלים,31/12/2015,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ","בית אבות ""זרע סלומון""",נתיב האבות 1 ,כפר סבא,31/12/2015,,,8124,,,,,,,,,,,,
"בנק אוצר החייל בע""מ",בת גלים,העליה השניה 39 בת גלים,חיפה,31/12/2015,,,,,,,,,,,,,,,
"הבנק הבינלאומי הראשון לישראל בע""מ",הנהלה מרכזית,אחד העם 9 ,תל אביב -יפו,31/12/2015,,,,,,,,,,,,,,,
"בנק פועלי אגודת ישראל בע""מ",הנהלה מרכזית,אחד העם 9 ,תל אביב -יפו,31/12/2015,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",שאג'ור - אום אלפחם,שאג'ור,אום אל-פחם,21/12/2015,,,,,,,,,,,,,,,
"בנק ערבי ישראלי בע""מ",שאג'ור - אום אלפחם,שאג'ור,אום אל-פחם,21/12/2015,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",נווה דור דיור מוגן,משה דיין 8 ,קריית טבעון,31/12/2015,,,,,,,,,,,,,,,
"בנק אוצר החייל בע""מ",היוצרים,"התע""ש 14",כפר סבא,31/12/2015,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",שחקים,היצירה 3 ,רמת גן,27/01/2016,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",פסגת זאב,שדרות משה דיין 106,ירושלים,13/01/2016,,,,,,,,,,,,,,,
"בנק אוצר החייל בע""מ",אסף הרופא,"ביה""ח אסף הרופא",ראשון לציון,28/01/2016,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",ריינה - משהד,כביש ראשי 0 ,ריינה,20/01/2016,,,,,,,,,,,,,,,
"בנק ערבי ישראלי בע""מ",ריינה - משהד,כביש ראשי 0 ,ריינה,20/01/2016,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",שלוחת בני ברק,זבוטינסקי 7 ,בני ברק,02/02/2016,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",כפר קרע,,כפר קרע,21/02/2016,,,,,,,,,,,,,,,
"בנק ערבי ישראלי בע""מ",כפר קרע,,כפר קרע,21/02/2016,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",טורעאן,מרכז הכפר מרכז הכפר ,טורעאן,23/02/2016,,,,,,,,,,,,,,,
"בנק ערבי ישראלי בע""מ",טורעאן,מרכז הכפר מרכז הכפר ,טורעאן,23/02/2016,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",בועיינה נוג'ידאת,,בועיינה-נוג'ידאת,17/02/2016,,,,,,,,,,,,,,,
"בנק ערבי ישראלי בע""מ",בועיינה נוג'ידאת,,בועיינה-נוג'ידאת,17/02/2016,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",טמרה,,טמרה,28/02/2016,,,,,,,,,,,,,,,
"בנק ערבי ישראלי בע""מ",טמרה,,טמרה,28/02/2016,,,,,,,,,,,,,,,
