bank,name,address,lat,lon
"בנק לאומי לישראל בע""מ",שיכון הותיקים,"רש""י 33, רמת גן",32.093195,34.8172603
"בנק לאומי לישראל בע""מ",רמת יצחק,"שדרות ירושלים 29-31, רמת גן",32.0747108,34.82224840000001
"בנק לאומי לישראל בע""מ",שלוחת מטולה,"הראשונים 49, מטולה",33.2827906,35.5797147
"הבנק הבינלאומי הראשון לישראל בע""מ",ממילא,"ממילא 5, ירושלים",31.7777941,35.2243788
"בנק מזרחי טפחות בע""מ",שלוחת חזון איש,"חזון איש 9, בני ברק",32.0848584,34.8363733
"בנק דיסקונט לישראל בע""מ",מרכז עסקים דן,"אבא הלל סילבר 12, רמת גן",32.0848479,34.8042303
"בנק הפועלים בע""מ",הקסטל,"אבן גבירול 161, תל אביב -יפו",32.0920394,34.7830397
"בנק דיסקונט לישראל בע""מ","דיסקונט בדרך שלך קמפוס ת""א","אוניברסיטת תל אביב, ",32.11436462402344,34.80354309082031
"בנק לאומי לישראל בע""מ",עסקים אלונים,"יגאל אלון 65, תל אביב -יפו",32.0657718,34.7922834
"בנק דיסקונט לישראל בע""מ",מלחה,"אגודת ספורט הפועל 1, ירושלים",31.752607,35.18678999999999
"יובנק בע""מ",חיפה,"הבנקים 3, חיפה",32.8200129,34.9970902
"בנק מזרחי טפחות בע""מ",שערי צדק,"בית חולים שערי צדק, ירושלים",31.773849487304688,35.18571853637695
"בנק לאומי לישראל בע""מ",אורנית,"הערבה 1, אורנית",32.1298879,34.9954247
"בנק לאומי לישראל בע""מ",היכל התרבות,"מרמורק 4, תל אביב -יפו",32.071773,34.7795758
"בנק הפועלים בע""מ",הדקל,"גרינבוים 41, תל אביב -יפו",32.0406973,34.7655103
"בנק לאומי לישראל בע""מ",ככר ציון,"יפו 47, ירושלים",31.7827218,35.2185658
"הבנק הבינלאומי הראשון לישראל בע""מ",קרית המלאכה,"קיבוץ גלויות 71, תל אביב -יפו",32.0504021,34.7719811
"בנק הפועלים בע""מ",חזון איש,"חזון איש 15, בני ברק",32.0841151,34.8361671
"יובנק בע""מ",ראשון לציון,"ילדי טהרן 5, ראשון לציון",31.9848989,34.76930600000001
"בנק הפועלים בע""מ",משמר השרון,", משמר השרון",32.356305,34.904256
"בנק דיסקונט לישראל בע""מ",אבן גבירול,"אבן גבירול 164, תל אביב -יפו",32.0906735,34.7829051
"בנק מזרחי טפחות בע""מ",שלוחת טרפון,"ירושלים 24, בני ברק",32.0852881,34.8299029
"בנק מרכנתיל דיסקונט בע""מ",ככר רבין,"פרישמן 77 ככר יצחק רבין, תל אביב -יפו",32.0803408,34.7806387
"בנק לאומי לישראל בע""מ",הגליל,"הגליל 76 נוה-שאנן, חיפה",32.7895226,35.0187747
"בנק הפועלים בע""מ",נוה חן,"סנפיר 10, תל אביב -יפו",32.0534726,34.8099349
"בנק לאומי לישראל בע""מ",קריית שדה התעופה,"רחוב הערבה, לוד",31.9426851,34.8919118
"בנק מסד בע""מ",יפו,"יפת 95, תל אביב -יפו",32.0423253,34.7517941
"בנק לאומי לישראל בע""מ",צמרת,"נסים אלוני 10, תל אביב -יפו",32.0888663,34.7973393
"בנק לאומי לישראל בע""מ",ככר המושבות,"אלנבי 119, תל אביב -יפו",32.0616188,34.7735972
"בנק דיסקונט לישראל בע""מ",בן יהודה,"בן יהודה 71, תל אביב -יפו",32.0805318,34.7701847
"בנק לאומי לישראל בע""מ",טשרניחובסקי,"טשרניחובסקי 2 כרמל צרפתי, חיפה",32.8171893,34.9786007
"בנק הפועלים בע""מ",אוניברסיטת חיפה,"אוניברסיטת חיפה, חיפה",32.761959075927734,35.018280029296875
"בנק לאומי לישראל בע""מ","בנקאות פרטית בינלאומית 718 ת""א","דיזינגוף 55, תל אביב -יפו",32.0755492,34.7750811
"בנק דיסקונט לישראל בע""מ",שנקר,"שנקר 4, הרצלייה",32.1604555,34.8096309
"בנק דיסקונט לישראל בע""מ",אלנבי,"אלנבי 76, תל אביב -יפו",32.0679353,34.7710799
"הבנק הבינלאומי הראשון לישראל בע""מ",יובנק - הנהלה,"שדרות רוטשילד 38, תל אביב -יפו",32.0636125,34.7737392
"בנק הפועלים בע""מ",רמת יצחק,"שד' ירושלים 21, רמת גן",32.0747429,34.8213363
"בנק הפועלים בע""מ",מגדיאל,"דרך מגדיאל 54, הוד השרון",32.1591522,34.9014872
"בנק הפועלים בע""מ",העליה,"לוינסקי 69, תל אביב -יפו",32.0590567,34.7745387
"בנק הפועלים בע""מ",בית דגן,"מנחם בגין 5, בית דגן",32.0030642,34.8272215
"בנק הפועלים בע""מ",אשדוד ים,"שבט לוי 14 רובע י""ב, אשדוד",31.7774623,34.6366061
