שם בנק,שם סניף,כתובת,שכונה / עיר,תאריך פתיחה ,תאריך סגירה
"בנק לאומי לישראל בע""מ",ג'ולס,,ג'וליס,17/12/2014,12/04/2016
"בנק ערבי ישראלי בע""מ",ג'ולס,,ג'וליס,17/12/2014,12/04/2016
"בנק לאומי לישראל בע""מ","מבואת רשב""י אשדוד","רשב""י 15 ",אשדוד,04/12/2014,
"הבנק הבינלאומי הראשון לישראל בע""מ",כפר סבא הירוקה,רפפורט 1 ,כפר סבא,09/12/2014,
"בנק הפועלים בע""מ",כפר קאסם,,כפר קאסם,14/12/2014,
"בנק מזרחי טפחות בע""מ",אזור תעשיה כפר סבא,"התע""ש 13 ",כפר סבא,15/12/2014,
"בנק מזרחי טפחות בע""מ",כהנמן,כהנמן 108 ,בני ברק,29/12/2014,
"בנק מזרחי טפחות בע""מ",יוקנעם,התמר 2 ,יקנעם עילית,30/12/2014,
"בנק לאומי לישראל בע""מ",כפר סבא הירוקה,רפפורט 3 ,כפר סבא,06/01/2015,13/07/2016
"בנק מזרחי טפחות בע""מ",כפר יאסיף,,כפר יאסיף,05/01/2015,
"בנק הפועלים בע""מ",כפר יאסיף,,כפר יאסיף,12/01/2015,
"בנק ירושלים בע""מ",בית שמש,דרך יצחק רבין 2,בית שמש,01/02/2015,
"בנק מרכנתיל דיסקונט בע""מ",נתיבות,בעלי המלאכה 200 ,נתיבות,01/03/2015,
"בנק ירושלים בע""מ",ביתר עילית,ישמח ישראל 2,ביתר עילית,01/03/2015,
"בנק הפועלים בע""מ",ערערה,,ערערה,02/03/2015,
"בנק מזרחי טפחות בע""מ",אום אל פחם,,אום אל-פחם,22/03/2015,
"בנק אגוד לישראל בע""מ",מרכז ראשלצ,ז'בוטינסקי 20 ,ראשון לציון,30/03/2015,
"בנק מזרחי טפחות בע""מ",עיר העתיקה,תפארת ישראל 16 ,ירושלים,12/04/2015,
"בנק מזרחי טפחות בע""מ","ב""ב רח' ירושלים",ירושלים 24 ,בני ברק,17/05/2015,
"בנק לאומי לישראל בע""מ",בנקאות פרטית חורב,חורב 14,חיפה,27/05/2015,
"בנק אגוד לישראל בע""מ",מרכז הלוואות,אחד העם 9 ,תל אביב -יפו,01/06/2015,
"בנק לאומי לישראל בע""מ",בנקאות פרטית רחובות,ויצמן 2 ,רחובות,21/06/2015,
"בנק מרכנתיל דיסקונט בע""מ",מרכז מומחים ירושלים,חגי 21 ,ירושלים,16/08/2015,
