bank,name,address,lat,lon
"בנק לאומי לישראל בע""מ",ג'ולס,", ג'וליס",32.94498,35.184243
"בנק ערבי ישראלי בע""מ",ג'ולס,", ג'וליס",32.94498,35.184243
"בנק לאומי לישראל בע""מ","מבואת רשב""י אשדוד","רשב""י 15, אשדוד",31.789843,34.6620081
"הבנק הבינלאומי הראשון לישראל בע""מ",כפר סבא הירוקה,"רפפורט 1, כפר סבא",32.1924517,34.8919023
"בנק הפועלים בע""מ",כפר קאסם,", כפר קאסם",32.114093,34.972767
"בנק מזרחי טפחות בע""מ",אזור תעשיה כפר סבא,"התע""ש 13, כפר סבא",32.1752698,34.9267434
"בנק מזרחי טפחות בע""מ",כהנמן,"כהנמן 108, בני ברק",32.0768586,34.8423587
"בנק מזרחי טפחות בע""מ",יוקנעם,"התמר 2, יקנעם עילית",32.6596146,35.1051382
"בנק מזרחי טפחות בע""מ",כפר יאסיף,", כפר יאסיף",32.9520318,35.1599957
"בנק הפועלים בע""מ",כפר יאסיף,", כפר יאסיף",32.9520318,35.1599957
"בנק ירושלים בע""מ",בית שמש,"דרך יצחק רבין 2, בית שמש",31.7477971,34.9944635
"בנק מרכנתיל דיסקונט בע""מ",נתיבות,"בעלי המלאכה 200, נתיבות",31.418213,34.595217
"בנק ירושלים בע""מ",ביתר עילית,"ישמח ישראל 2, ביתר עילית",31.7004103,35.1076649
"בנק הפועלים בע""מ",ערערה,", ערערה",32.496323,35.097292
"בנק מזרחי טפחות בע""מ",אום אל פחם,", אום אל-פחם",32.517127,35.148529
"בנק אגוד לישראל בע""מ",מרכז ראשלצ,"ז'בוטינסקי 20, ראשון לציון",31.9633803,34.8000685
"בנק מזרחי טפחות בע""מ",עיר העתיקה,"תפארת ישראל 16, ירושלים",31.7755465,35.2317803
"בנק מזרחי טפחות בע""מ","ב""ב רח' ירושלים","ירושלים 24, בני ברק",32.0852881,34.8299029
"בנק לאומי לישראל בע""מ",בנקאות פרטית חורב,"חורב 14, חיפה",32.7853538,34.9859355
"בנק אגוד לישראל בע""מ",מרכז הלוואות,"אחד העם 9, תל אביב -יפו",32.0635763,34.769478
"בנק לאומי לישראל בע""מ",בנקאות פרטית רחובות,"ויצמן 2, רחובות",31.8991388,34.8108982
"בנק מרכנתיל דיסקונט בע""מ",מרכז מומחים ירושלים,"חגי 21, ירושלים",31.7891932,35.2177031
"בנק הפועלים בע""מ",בי אונליין,"הצבר 5, אזור",32.0305418,34.7974606
"בנק הפועלים בע""מ",דיגיטל תל אביב נורדאו,"אבן גבירול 161, תל אביב -יפו",32.0920394,34.7830397
"בנק הפועלים בע""מ",יבנה הירוקה,"הדוגית 16, יבנה",31.8668262,34.7356159
"בנק הפועלים בע""מ",דיר אל אסד - בענה,", דייר אל-אסד",32.93445,35.268394
"בנק הפועלים בע""מ",דיגיטל חיפה,"שמחה גולן 54, חיפה",32.789711,35.0078223
"בנק לאומי לישראל בע""מ",שלוחת פסגת זאב,"שדרות משה דיין 106, ירושלים",31.8280111,35.2402155
"בנק מזרחי טפחות בע""מ",שדרות,"סמטת הפלדה 8, שדרות",31.5211126,34.5945594
"בנק לאומי לישראל בע""מ",ריינה - משהד,", ריינה",32.719924,35.317654
"בנק מזרחי טפחות בע""מ","קופ""ג חב' חשמל","מרדכי אנילביץ 56, תל אביב -יפו",32.0637256,34.7900533
"בנק הפועלים בע""מ",דיגיטל רחובות,"בילו 2, רחובות",31.8937669,34.8071159
"בנק הפועלים בע""מ",כפר מנדא,", כפר מנדא",32.81236,35.258613
"בנק לאומי לישראל בע""מ",בנקאות פרטית דן,"דיזינגוף 55, תל אביב -יפו",32.0755492,34.7750811
"בנק לאומי לישראל בע""מ",כפר כנא,", כפר כנא",32.7481978,35.3438402
"בנק לאומי לישראל בע""מ",כפר מנדא,", כפר מנדא",32.81236,35.258613
"בנק לאומי לישראל בע""מ",המעיין,"הגליל 16, נצרת",32.7056651,35.3037727
"בנק לאומי לישראל בע""מ",בועיינה נוג'ידאת,", בועיינה-נוג'ידאת",32.807711,35.36527
"בנק לאומי לישראל בע""מ",בית ג'אן,", בית ג'ן",32.965655,35.381268
"בנק לאומי לישראל בע""מ",נחף,", נחף",32.934675,35.31652
"בנק לאומי לישראל בע""מ",כפר קרע,", כפר קרע",32.505518,35.054251
"בנק לאומי לישראל בע""מ",טורעאן,", טורעאן",32.775137,35.378344
"בנק לאומי לישראל בע""מ",סכנין,", סח'נין",32.864167,35.294547
"בנק לאומי לישראל בע""מ",טמרה,", טמרה",32.852247,35.201315
"בנק מזרחי טפחות בע""מ",א.ת.אשדוד,"האורגים 11, אשדוד",31.811866,34.6592015
"בנק אוצר החייל בע""מ",יבנה,"הדוגית 16, יבנה",31.8668262,34.7356159
"בנק לאומי לישראל בע""מ",גוש חלב,", (ג'ש (גוש חלב",33.021266,35.447949
"בנק לאומי לישראל בע""מ",שפרעם,", שפרעם",32.80576500000001,35.169971
"בנק לאומי לישראל בע""מ",פקיעין,", (פקיעין (בוקייעה",33.012733,35.286286
"בנק לאומי לישראל בע""מ",ירכא,", ירכא",32.953492,35.21199
"בנק אוצר החייל בע""מ",פרדס חנה,"דרך הבנים 17, פרדס חנה-כרכור",32.4760537,34.9770204
"בנק לאומי לישראל בע""מ",כפר יאסיף,", כפר יאסיף",32.9520318,35.1599957
"בנק לאומי לישראל בע""מ",מעלות תרשיחא,", מעלות-תרשיחא",33.015026,35.276017
"בנק לאומי לישראל בע""מ",חרפיש,", חורפיש",33.016688,35.347106
"בנק לאומי לישראל בע""מ",אעבלין,", אעבלין",32.821799,35.19012
"בנק לאומי לישראל בע""מ",אום אל פחם,", אום אל-פחם",32.517127,35.148529
"בנק לאומי לישראל בע""מ",ג'ת,", ג'ת",32.39693,35.035914
"בנק לאומי לישראל בע""מ",כפר ערערה,", ערערה",32.496323,35.097292
"בנק לאומי לישראל בע""מ",ראמה,", ראמה",32.937112,35.366984
"בנק לאומי לישראל בע""מ",מרכז מסחרי שפרעם,", שפרעם",32.80576500000001,35.169971
"בנק לאומי לישראל בע""מ",דבוריה,", דבורייה",32.69412,35.368513
"בנק לאומי לישראל בע""מ",קלנסואה,", קלנסווה",32.285791,34.981487
"בנק לאומי לישראל בע""מ",כאבול,", כאוכב אבו אל-היג'א",32.831888,35.248701
"בנק לאומי לישראל בע""מ",עראבה,", עראבה",32.853705,35.337167
"בנק לאומי לישראל בע""מ",אכסאל,", אכסאל",32.682085,35.320743
"בנק לאומי לישראל בע""מ",ג'דיידה - מכר,", ג'דיידה-מכר",32.928656,35.150573
"בנק לאומי לישראל בע""מ",דיר אל אסד-בענה,", דייר אל-אסד",32.93445,35.268394
"בנק לאומי לישראל בע""מ",הוואדי,"המגינים 53, חיפה",32.8195161,34.9949314
"בנק לאומי לישראל בע""מ",מרכז אמידים,"הגליל 16, נצרת",32.7056651,35.3037727
"בנק לאומי לישראל בע""מ",מג'אר,", מגאר",32.890704,35.40461
"בנק לאומי לישראל בע""מ",יפיע,", יפיע",32.695002,35.28201
