$id,ApplicationEndDate,ApplicationStartDate,CityCode,CityDescription,ContractorCode,ContractorDescription,GrantSize,HousingUnits,IsForAplicant,IsLotteryHeld,Linking,LotteryDate,LotteryNumber,LotteryWinFile,NeighborhoodName,Notes,PriceIndexCode,PriceIndexDate,PriceIndexDescription,PricePerUnit,ProcessCode,ProcessName,ProjectImageURLs,ProjectName,ProjectNumber,ProjectURL,RegulationsVersion,ResponsibilityCode,ResponsibilityDescription,StageCode,TargetHousingUnits,ApartmentNumber,ApartmentSize,ApartmentType,BalconySize,BuildingNumber,FloorNumber,InternetNotes,LotNumber,ParkingLotNumber,ParkingLots,PricePerProcess,RoomCode,RoomDescription,WarehouseNumber,WarehouseSize
2,2016-12-05T00:00:00,2016-11-08T00:00:00,3000,ירושלים,511982910,גיא א דורון לוי הנדסה בנייה וה,0.0,140,False,True,,2016-12-13T11:10:32.88,146,VW4zbmk2RFdQbkdFM25QM09oVXZ4Zz09,רמת שלמה,"משרד הבינוי והשיכון מבקש להביא לידיעת הנרשמים להגרלה מס' 146 כי לאור אופייה של שכונת רמת שלמה, החליטה עיריית ירושלים ביום 5.11.2000, לסגור את כביש הגישה לשכונה משד' יגאל ידין, רח' שלמה זלמן דרוק, בשבתות ובמועדי ישראל. מצ""ב לשון החלטת מועצת עיריית ירושלים בעניין הסדרי התנועה בעיר בשבתות ובמועדי ישראל: ""בהמשך להחלטות קודמות ובהתאם לסמכות ראש העיר על פי תקנות התעבורה כרשות תמרור מקומית ובמסגרת כתב ההרשאה מיום ה-21.6.92 שניתן ע""י המפקח על התעבורה מחוזות ירושלים והדרום, ולאחר התייעצות עם קצין המשטרה וכן עם המפקח על התעבורה במחוזות ירושלים והדרום סומכת מועצת העירייה את ידה על ההחלטה לסגור את הרחוב הבא בשבתות ובמועדי ישראל: רח' שלמה זלמן דרוק (כביש הגישה לשכונת רמת שלמה משד' יגאל ידין)"".",2,2015-11-01T00:00:00,מדד תשומות הבנייה,12810.33,2,מחיר למשתכן,,רמת שלמה,43368,,eWJmRVRwK05VcEVjMEpjeVNldlkzdz09,2,"רמ""י",1,140,1,149.43,,137.39,&1,-1,,5,,2,2529720.0,5,5,,7.07
3,2016-12-05T00:00:00,2016-11-08T00:00:00,3000,ירושלים,511982910,גיא א דורון לוי הנדסה בנייה וה,0.0,140,False,True,,2016-12-13T11:10:32.88,146,VW4zbmk2RFdQbkdFM25QM09oVXZ4Zz09,רמת שלמה,"משרד הבינוי והשיכון מבקש להביא לידיעת הנרשמים להגרלה מס' 146 כי לאור אופייה של שכונת רמת שלמה, החליטה עיריית ירושלים ביום 5.11.2000, לסגור את כביש הגישה לשכונה משד' יגאל ידין, רח' שלמה זלמן דרוק, בשבתות ובמועדי ישראל. מצ""ב לשון החלטת מועצת עיריית ירושלים בעניין הסדרי התנועה בעיר בשבתות ובמועדי ישראל: ""בהמשך להחלטות קודמות ובהתאם לסמכות ראש העיר על פי תקנות התעבורה כרשות תמרור מקומית ובמסגרת כתב ההרשאה מיום ה-21.6.92 שניתן ע""י המפקח על התעבורה מחוזות ירושלים והדרום, ולאחר התייעצות עם קצין המשטרה וכן עם המפקח על התעבורה במחוזות ירושלים והדרום סומכת מועצת העירייה את ידה על ההחלטה לסגור את הרחוב הבא בשבתות ובמועדי ישראל: רח' שלמה זלמן דרוק (כביש הגישה לשכונת רמת שלמה משד' יגאל ידין)"".",2,2015-11-01T00:00:00,מדד תשומות הבנייה,12810.33,2,מחיר למשתכן,,רמת שלמה,43368,,eWJmRVRwK05VcEVjMEpjeVNldlkzdz09,2,"רמ""י",1,140,2,97.71,,215.7,&1,-1,,5,,2,2131895.0,35,3.5,,
4,2016-12-05T00:00:00,2016-11-08T00:00:00,3000,ירושלים,511982910,גיא א דורון לוי הנדסה בנייה וה,0.0,140,False,True,,2016-12-13T11:10:32.88,146,VW4zbmk2RFdQbkdFM25QM09oVXZ4Zz09,רמת שלמה,"משרד הבינוי והשיכון מבקש להביא לידיעת הנרשמים להגרלה מס' 146 כי לאור אופייה של שכונת רמת שלמה, החליטה עיריית ירושלים ביום 5.11.2000, לסגור את כביש הגישה לשכונה משד' יגאל ידין, רח' שלמה זלמן דרוק, בשבתות ובמועדי ישראל. מצ""ב לשון החלטת מועצת עיריית ירושלים בעניין הסדרי התנועה בעיר בשבתות ובמועדי ישראל: ""בהמשך להחלטות קודמות ובהתאם לסמכות ראש העיר על פי תקנות התעבורה כרשות תמרור מקומית ובמסגרת כתב ההרשאה מיום ה-21.6.92 שניתן ע""י המפקח על התעבורה מחוזות ירושלים והדרום, ולאחר התייעצות עם קצין המשטרה וכן עם המפקח על התעבורה במחוזות ירושלים והדרום סומכת מועצת העירייה את ידה על ההחלטה לסגור את הרחוב הבא בשבתות ובמועדי ישראל: רח' שלמה זלמן דרוק (כביש הגישה לשכונת רמת שלמה משד' יגאל ידין)"".",2,2015-11-01T00:00:00,מדד תשומות הבנייה,12810.33,2,מחיר למשתכן,,רמת שלמה,43368,,eWJmRVRwK05VcEVjMEpjeVNldlkzdz09,2,"רמ""י",1,140,3,138.75,,231.44,&1,-1,,5,,2,2718121.0,5,5,,
5,2016-12-05T00:00:00,2016-11-08T00:00:00,3000,ירושלים,511982910,גיא א דורון לוי הנדסה בנייה וה,0.0,140,False,True,,2016-12-13T11:10:32.88,146,VW4zbmk2RFdQbkdFM25QM09oVXZ4Zz09,רמת שלמה,"משרד הבינוי והשיכון מבקש להביא לידיעת הנרשמים להגרלה מס' 146 כי לאור אופייה של שכונת רמת שלמה, החליטה עיריית ירושלים ביום 5.11.2000, לסגור את כביש הגישה לשכונה משד' יגאל ידין, רח' שלמה זלמן דרוק, בשבתות ובמועדי ישראל. מצ""ב לשון החלטת מועצת עיריית ירושלים בעניין הסדרי התנועה בעיר בשבתות ובמועדי ישראל: ""בהמשך להחלטות קודמות ובהתאם לסמכות ראש העיר על פי תקנות התעבורה כרשות תמרור מקומית ובמסגרת כתב ההרשאה מיום ה-21.6.92 שניתן ע""י המפקח על התעבורה מחוזות ירושלים והדרום, ולאחר התייעצות עם קצין המשטרה וכן עם המפקח על התעבורה במחוזות ירושלים והדרום סומכת מועצת העירייה את ידה על ההחלטה לסגור את הרחוב הבא בשבתות ובמועדי ישראל: רח' שלמה זלמן דרוק (כביש הגישה לשכונת רמת שלמה משד' יגאל ידין)"".",2,2015-11-01T00:00:00,מדד תשומות הבנייה,12810.33,2,מחיר למשתכן,,רמת שלמה,43368,,eWJmRVRwK05VcEVjMEpjeVNldlkzdz09,2,"רמ""י",1,140,4,149.43,,169.18,&1,-1,,5,,2,2654813.0,5,5,,7.64
6,2016-12-05T00:00:00,2016-11-08T00:00:00,3000,ירושלים,511982910,גיא א דורון לוי הנדסה בנייה וה,0.0,140,False,True,,2016-12-13T11:10:32.88,146,VW4zbmk2RFdQbkdFM25QM09oVXZ4Zz09,רמת שלמה,"משרד הבינוי והשיכון מבקש להביא לידיעת הנרשמים להגרלה מס' 146 כי לאור אופייה של שכונת רמת שלמה, החליטה עיריית ירושלים ביום 5.11.2000, לסגור את כביש הגישה לשכונה משד' יגאל ידין, רח' שלמה זלמן דרוק, בשבתות ובמועדי ישראל. מצ""ב לשון החלטת מועצת עיריית ירושלים בעניין הסדרי התנועה בעיר בשבתות ובמועדי ישראל: ""בהמשך להחלטות קודמות ובהתאם לסמכות ראש העיר על פי תקנות התעבורה כרשות תמרור מקומית ובמסגרת כתב ההרשאה מיום ה-21.6.92 שניתן ע""י המפקח על התעבורה מחוזות ירושלים והדרום, ולאחר התייעצות עם קצין המשטרה וכן עם המפקח על התעבורה במחוזות ירושלים והדרום סומכת מועצת העירייה את ידה על ההחלטה לסגור את הרחוב הבא בשבתות ובמועדי ישראל: רח' שלמה זלמן דרוק (כביש הגישה לשכונת רמת שלמה משד' יגאל ידין)"".",2,2015-11-01T00:00:00,מדד תשומות הבנייה,12810.33,2,מחיר למשתכן,,רמת שלמה,43368,,eWJmRVRwK05VcEVjMEpjeVNldlkzdz09,2,"רמ""י",1,140,5,142.49,,6.95,&1,0,,5,,1,1931529.0,5,5,,10.51
7,2016-12-05T00:00:00,2016-11-08T00:00:00,3000,ירושלים,511982910,גיא א דורון לוי הנדסה בנייה וה,0.0,140,False,True,,2016-12-13T11:10:32.88,146,VW4zbmk2RFdQbkdFM25QM09oVXZ4Zz09,רמת שלמה,"משרד הבינוי והשיכון מבקש להביא לידיעת הנרשמים להגרלה מס' 146 כי לאור אופייה של שכונת רמת שלמה, החליטה עיריית ירושלים ביום 5.11.2000, לסגור את כביש הגישה לשכונה משד' יגאל ידין, רח' שלמה זלמן דרוק, בשבתות ובמועדי ישראל. מצ""ב לשון החלטת מועצת עיריית ירושלים בעניין הסדרי התנועה בעיר בשבתות ובמועדי ישראל: ""בהמשך להחלטות קודמות ובהתאם לסמכות ראש העיר על פי תקנות התעבורה כרשות תמרור מקומית ובמסגרת כתב ההרשאה מיום ה-21.6.92 שניתן ע""י המפקח על התעבורה מחוזות ירושלים והדרום, ולאחר התייעצות עם קצין המשטרה וכן עם המפקח על התעבורה במחוזות ירושלים והדרום סומכת מועצת העירייה את ידה על ההחלטה לסגור את הרחוב הבא בשבתות ובמועדי ישראל: רח' שלמה זלמן דרוק (כביש הגישה לשכונת רמת שלמה משד' יגאל ידין)"".",2,2015-11-01T00:00:00,מדד תשומות הבנייה,12810.33,2,מחיר למשתכן,,רמת שלמה,43368,,eWJmRVRwK05VcEVjMEpjeVNldlkzdz09,2,"רמ""י",1,140,6,98.28,,7.0,&1,0,,5,,2,1337142.0,35,3.5,,
8,2016-12-05T00:00:00,2016-11-08T00:00:00,3000,ירושלים,511982910,גיא א דורון לוי הנדסה בנייה וה,0.0,140,False,True,,2016-12-13T11:10:32.88,146,VW4zbmk2RFdQbkdFM25QM09oVXZ4Zz09,רמת שלמה,"משרד הבינוי והשיכון מבקש להביא לידיעת הנרשמים להגרלה מס' 146 כי לאור אופייה של שכונת רמת שלמה, החליטה עיריית ירושלים ביום 5.11.2000, לסגור את כביש הגישה לשכונה משד' יגאל ידין, רח' שלמה זלמן דרוק, בשבתות ובמועדי ישראל. מצ""ב לשון החלטת מועצת עיריית ירושלים בעניין הסדרי התנועה בעיר בשבתות ובמועדי ישראל: ""בהמשך להחלטות קודמות ובהתאם לסמכות ראש העיר על פי תקנות התעבורה כרשות תמרור מקומית ובמסגרת כתב ההרשאה מיום ה-21.6.92 שניתן ע""י המפקח על התעבורה מחוזות ירושלים והדרום, ולאחר התייעצות עם קצין המשטרה וכן עם המפקח על התעבורה במחוזות ירושלים והדרום סומכת מועצת העירייה את ידה על ההחלטה לסגור את הרחוב הבא בשבתות ובמועדי ישראל: רח' שלמה זלמן דרוק (כביש הגישה לשכונת רמת שלמה משד' יגאל ידין)"".",2,2015-11-01T00:00:00,מדד תשומות הבנייה,12810.33,2,מחיר למשתכן,,רמת שלמה,43368,,eWJmRVRwK05VcEVjMEpjeVNldlkzdz09,2,"רמ""י",1,140,7,98.28,,7.0,&1,0,,5,,1,1351387.0,35,3.5,,7.78
9,2016-12-05T00:00:00,2016-11-08T00:00:00,3000,ירושלים,511982910,גיא א דורון לוי הנדסה בנייה וה,0.0,140,False,True,,2016-12-13T11:10:32.88,146,VW4zbmk2RFdQbkdFM25QM09oVXZ4Zz09,רמת שלמה,"משרד הבינוי והשיכון מבקש להביא לידיעת הנרשמים להגרלה מס' 146 כי לאור אופייה של שכונת רמת שלמה, החליטה עיריית ירושלים ביום 5.11.2000, לסגור את כביש הגישה לשכונה משד' יגאל ידין, רח' שלמה זלמן דרוק, בשבתות ובמועדי ישראל. מצ""ב לשון החלטת מועצת עיריית ירושלים בעניין הסדרי התנועה בעיר בשבתות ובמועדי ישראל: ""בהמשך להחלטות קודמות ובהתאם לסמכות ראש העיר על פי תקנות התעבורה כרשות תמרור מקומית ובמסגרת כתב ההרשאה מיום ה-21.6.92 שניתן ע""י המפקח על התעבורה מחוזות ירושלים והדרום, ולאחר התייעצות עם קצין המשטרה וכן עם המפקח על התעבורה במחוזות ירושלים והדרום סומכת מועצת העירייה את ידה על ההחלטה לסגור את הרחוב הבא בשבתות ובמועדי ישראל: רח' שלמה זלמן דרוק (כביש הגישה לשכונת רמת שלמה משד' יגאל ידין)"".",2,2015-11-01T00:00:00,מדד תשומות הבנייה,12810.33,2,מחיר למשתכן,,רמת שלמה,43368,,eWJmRVRwK05VcEVjMEpjeVNldlkzdz09,2,"רמ""י",1,140,8,142.49,,6.95,&1,0,,5,,1,1935218.0,5,5,,11.23
10,2016-12-05T00:00:00,2016-11-08T00:00:00,3000,ירושלים,511982910,גיא א דורון לוי הנדסה בנייה וה,0.0,140,False,True,,2016-12-13T11:10:32.88,146,VW4zbmk2RFdQbkdFM25QM09oVXZ4Zz09,רמת שלמה,"משרד הבינוי והשיכון מבקש להביא לידיעת הנרשמים להגרלה מס' 146 כי לאור אופייה של שכונת רמת שלמה, החליטה עיריית ירושלים ביום 5.11.2000, לסגור את כביש הגישה לשכונה משד' יגאל ידין, רח' שלמה זלמן דרוק, בשבתות ובמועדי ישראל. מצ""ב לשון החלטת מועצת עיריית ירושלים בעניין הסדרי התנועה בעיר בשבתות ובמועדי ישראל: ""בהמשך להחלטות קודמות ובהתאם לסמכות ראש העיר על פי תקנות התעבורה כרשות תמרור מקומית ובמסגרת כתב ההרשאה מיום ה-21.6.92 שניתן ע""י המפקח על התעבורה מחוזות ירושלים והדרום, ולאחר התייעצות עם קצין המשטרה וכן עם המפקח על התעבורה במחוזות ירושלים והדרום סומכת מועצת העירייה את ידה על ההחלטה לסגור את הרחוב הבא בשבתות ובמועדי ישראל: רח' שלמה זלמן דרוק (כביש הגישה לשכונת רמת שלמה משד' יגאל ידין)"".",2,2015-11-01T00:00:00,מדד תשומות הבנייה,12810.33,2,מחיר למשתכן,,רמת שלמה,43368,,eWJmRVRwK05VcEVjMEpjeVNldlkzdz09,2,"רמ""י",1,140,9,142.49,,6.99,&1,1,,5,,1,1930453.0,5,5,,10.27
11,2016-12-05T00:00:00,2016-11-08T00:00:00,3000,ירושלים,511982910,גיא א דורון לוי הנדסה בנייה וה,0.0,140,False,True,,2016-12-13T11:10:32.88,146,VW4zbmk2RFdQbkdFM25QM09oVXZ4Zz09,רמת שלמה,"משרד הבינוי והשיכון מבקש להביא לידיעת הנרשמים להגרלה מס' 146 כי לאור אופייה של שכונת רמת שלמה, החליטה עיריית ירושלים ביום 5.11.2000, לסגור את כביש הגישה לשכונה משד' יגאל ידין, רח' שלמה זלמן דרוק, בשבתות ובמועדי ישראל. מצ""ב לשון החלטת מועצת עיריית ירושלים בעניין הסדרי התנועה בעיר בשבתות ובמועדי ישראל: ""בהמשך להחלטות קודמות ובהתאם לסמכות ראש העיר על פי תקנות התעבורה כרשות תמרור מקומית ובמסגרת כתב ההרשאה מיום ה-21.6.92 שניתן ע""י המפקח על התעבורה מחוזות ירושלים והדרום, ולאחר התייעצות עם קצין המשטרה וכן עם המפקח על התעבורה במחוזות ירושלים והדרום סומכת מועצת העירייה את ידה על ההחלטה לסגור את הרחוב הבא בשבתות ובמועדי ישראל: רח' שלמה זלמן דרוק (כביש הגישה לשכונת רמת שלמה משד' יגאל ידין)"".",2,2015-11-01T00:00:00,מדד תשומות הבנייה,12810.33,2,מחיר למשתכן,,רמת שלמה,43368,,eWJmRVRwK05VcEVjMEpjeVNldlkzdz09,2,"רמ""י",1,140,10,97.71,,11.4,&1,1,,5,,2,1346750.0,35,3.5,,
