name,clalit,clalit_treatments,harel,harel_treatments
דניאל מלאך,,,True,"גניקולוגיה
"
זאב גוטקין,,,True,"כירורגיה   כללית
"
דוד צדוק,,,True,"עיניים
"
גולד אבירם,True,"ברך ארטרוסקופיה טיפולי/אבחנתי
קיבוע - הסרה
רגל/יד - קיבוע ע""י פלטות
מפרק ברך/ירך - השתלה מלאה
רגל - תיקון קרע גיד
ברך - שחזור רצועות
מפרקים - החלפה חלקית
ברך - ארטרוסקופיה באשפוז לילה
ברך ארטרוסקופיה טיפולי/אבחנתי
קיבוע - הסרה
קיבוע - הסרה
רגל/יד - קיבוע ע""י פלטות
ברך ארטרוסקופיה טיפולי/אבחנתי
",,
פוטרמן משה מקס ברנרד,True,"סינוס - ניתוח אנדוסקופי + מחיצה
שקדים - כריתה
שקד שלישי - כריתה
כפתורים
אף - תיקון מחיצה
סינוס אנדוסקופי + מחיצה + קונכיות
שקד שלישי + כפתורים - כריתה
שקדים + שקד שלישי + כפתורים
אף - תיקון מחיצה + קונכיות
שקדים + שקד שלישי
סינוס - ניתוח אנדוסקופי + מחיצה
סינוס - ניתוח אנדוסקופי + קונכיות
לשון - כריתת הממברנה (הפרדה)
שקדים עם אלקטרודה +  + ש.שלישי
שקדים באלקטרודה + שלישי + כפתורים
שקדים עם שימוש באלקטרודה
אף - תיקון מחיצה + קונכיות + ש.שלישי
עצמות השמע - ניתוח
שקדים - כריתה
שקד שלישי - כריתה
שקד שלישי - כריתה
כפתורים
אף - תיקון מחיצה
שקד שלישי + כפתורים - כריתה
אף - תיקון מחיצה + קונכיות
שקד שלישי + כפתורים - כריתה
סינוס - ניתוח אנדוסקופי + קונכיות
לשון - כריתת הממברנה (הפרדה)
שקדים עם אלקטרודה +  + ש.שלישי
שקדים באלקטרודה + שלישי + כפתורים
שקדים עם שימוש באלקטרודה
אף - תיקון מחיצה + קונכיות + ש.שלישי
עצמות השמע - ניתוח
שקדים - כריתה
שקד שלישי - כריתה
סינוס - ניתוח אנדוסקופי
שקדים + שקד שלישי
שקד שלישי + כפתורים - כריתה
אף - תיקון מחיצה
שקד שלישי + כפתורים - כריתה
אף - תיקון מחיצה + קונכיות
שקד שלישי + כפתורים - כריתה
עצמות השמע - ניתוח
שקדים - כריתה
שקד שלישי - כריתה
סינוס - ניתוח אנדוסקופי
כפתורים
אף - תיקון מחיצה
סינוס אנדוסקופי + מחיצה + קונכיות
שקד שלישי + כפתורים - כריתה
שקדים + שקד שלישי + כפתורים
אף - תיקון מחיצה + קונכיות
",,
רון ארבל,,,True,"אורתופדיה
"
כהן איילון שלמה,True,"מיומה - כריתה בגישה לפרסקופית
רחם היסטרוסקופיה גרידה + פוליפ
נרתיק - פלסטיקה קדמית
בלוטת ברטוליני - ניקוז
רחם היסטרו שרירן/ספטום/אבלציה
נרתיק - פלסטיקה אחורית
רחם היסטרוסקופיה אבחנתית + גרידה
גרידת נסיון / הפלה נדחית
רחם היסטרוסקופיה גרידה + פוליפ
נרתיק - כריתת שרירן בחתך
לפרוסקופיה ניתוחית
רחם - כריתת גוש בחתך (מיומה)
נרתיק - כריתת שרירן בחתך
נרתיק - פלסטיקה קדמית
בלוטת ברטוליני - ניקוז
שחלה - כריתה חד/דו צדדית - בחתך
רחם היסטרו שרירן/ספטום/אבלציה
שחלה/ות - לפרוסקופיה ניתוחית
נרתיק - פלסטיקה אחורית
רחם היסטרוסקופיה אבחנתית + גרידה
לפרוסקופיה ניתוחית
רחם - כריתת גוש בחתך (מיומה)
נרתיק - כריתת שרירן בחתך
נרתיק - פלסטיקה קדמית
בלוטת ברטוליני - ניקוז
שחלה - כריתה חד/דו צדדית - בחתך
רחם היסטרו שרירן/ספטום/אבלציה
שחלה/ות - לפרוסקופיה ניתוחית
נרתיק - פלסטיקה אחורית
רחם היסטרוסקופיה אבחנתית + גרידה
גרידת נסיון / הפלה נדחית
צוואר הרחם - קשירה
לפרוסקופיה צריבה לאנדומטריוזיס
מיומה - כריתה בגישה לפרסקופית
רחם היסטרוסקופיה גרידה + פוליפ
נרתיק - פלסטיקה קדמית
בלוטת ברטוליני - ניקוז
רחם היסטרו שרירן/ספטום/אבלציה
נרתיק - פלסטיקה אחורית
רחם היסטרוסקופיה אבחנתית + גרידה
בלוטת ברטוליני - ניקוז
רחם היסטרו שרירן/ספטום/אבלציה
נרתיק - פלסטיקה אחורית
רחם היסטרוסקופיה אבחנתית + גרידה
גרידת נסיון / הפלה נדחית
רחם היסטרוסקופיה גרידה + פוליפ
נרתיק - כריתת שרירן בחתך
נרתיק - פלסטיקה קדמית
בלוטת ברטוליני - ניקוז
רחם היסטרו שרירן/ספטום/אבלציה
נרתיק - כריתת שרירן בחתך
נרתיק - פלסטיקה קדמית
בלוטת ברטוליני - ניקוז
רחם היסטרו שרירן/ספטום/אבלציה
נרתיק - פלסטיקה אחורית
רחם היסטרוסקופיה אבחנתית + גרידה
גרידת נסיון / הפלה נדחית
רחם היסטרוסקופיה גרידה + פוליפ
",,
קייזר שלמה,True,"טחורים - ניתוח
פי הטבעת/פרי אנלי (פיסורה)
",,
פואד עזאם,,,True,"גניקולוגיה
"
אלקרינאוי נאסים,True,"ברך ארטרוסקופיה טיפולי/אבחנתי
ברך - שחזור רצועות
כתף - ארט' - הדבקות,קרעים,סינבוקטו
כתף - ארט' ניתוחי + כריתה של המפרק
כתף - תיקון אי - יציבות
כתף - אקרומיופלסטי + R.C + ACJ
ברך - שחזור רצועות
ברך - ארטרוסקופיה באשפוז לילה
ברך ארטרוסקופיה טיפולי/אבחנתי
",,
