lat,lon,name,בעלות,כתובת,לשכת בריאות,מנהל,מס' טלפון,מס' פקס,נפה,סוג,עיר/ישוב,קוד מוסד
32.0881522,34.8685677,מרכז שניידר לרפואת ילדים,כללית,רח' קפלן 14,לשכת בריאות פתח תקווה,פרופ' פרס יוסף,,,פתח תקווה,בית חולים לילדים,פתח תקוה,03301
32.1083264,34.8389948,אסותא רמת החי'ל-אסותא מרכזים רפואיים,פרטי,הברזל 20,לשכת בריאות תל אביב-יפו,"ד""ר שני נפתלי",03-5244344,03-5201546,תל-אביב,בתי חולים לאשפוז כללי,תל אביב-יפו,01701
32.8227555,34.9881729,בית החולים האיטלקי,מיסיון,"המגנים ,106 חיפה",לשכת בריאות חיפה,פרופ' טובי אליאס,04-8514294,04-8520704,חיפה,בתי חולים לאשפוז כללי,חיפה,01504
31.7779317,35.2456983,בית חולים אוגוסטה ויקטוריה,ציבורי,הר הזיתים ת.ד. 19178,לשכת בריאות ירושלים,"ד""ר סייפי נדאל",02-6282401,,ירושלים,בתי חולים לאשפוז כללי,ירושלים,01605
32.699635,35.303546,בית חולים אי.מ.מ.ס הסקוטי,מיסיון,"ת.ד. ,11נצרת",לשכת בריאות נצרת,"ד""ר חכים פהד",04-6028817,04-6575912,יזרעאל,בתי חולים לאשפוז כללי,נצרת,01501
31.7779317,35.2456983,בית חולים אל מקאסד אל חירייה אל איסלמיה,ציבורי,הר הזיתים ת.ד. 22110,לשכת בריאות ירושלים,"ד""ר אבו לבדה בסאם",02-6270202,02-6288392,ירושלים,בתי חולים לאשפוז כללי,ירושלים,01603
32.8007949,34.9920042,בית חולים אלישע,פרטי,יאיר כץ 12,לשכת בריאות חיפה,"ד""ר ישראלית שלמה חנן",04-8300000,,חיפה,בתי חולים לאשפוז כללי,חיפה,01702
31.2451224,34.7965256,"בית חולים אסותא באר שבע,אסותא מרכזים רפואיים",פרטי,"מגדל שבע, שד' רגר 11",לשכת בריאות באר שבע,"ד""ר שפריץ מנור מיכאל",08-6276640,08-6276684,באר שבע,בתי חולים לאשפוז כללי,באר שבע,01709
32.7935225,35.037458,"בית חולים אסותא חיפה, אסותא מרכזים רפואיים",פרטי,קניון לב המפרץ,לשכת בריאות חיפה,"ד""ר וולך מנע וניה מיכל",04-8810603,04-8351211,חיפה,בתי חולים לאשפוז כללי,חיפה,01710
31.992552,34.7724235,"בית חולים אסותא ראשון,אסותא מרכזים רפואיים",פרטי,רחוב לזרוב 14,לשכת בריאות רחובות,"ד""ר בלוך יובל חיים",03-7643419,,רחובות,בתי חולים לאשפוז כללי,ראשון לציון,01708
31.7930604,35.2449342,בית חולים האוניברסיטאי הדסה הר הצופים,הדסה,"הר הצופים, ת.ד. 53042",לשכת בריאות ירושלים,"ד""ר לבציון-קרח אסנת",02-5844111,02-5844111,ירושלים,בתי חולים לאשפוז כללי,ירושלים,01402
31.7662104,35.1494005,בית חולים האוניברסיטאי הדסה עין כרם,הדסה,"קרית הדסה, ת.ד. 12000",לשכת בריאות ירושלים,פרופ' וייס יורם גיאורג,02-6777111,02-6420219,ירושלים,בתי חולים לאשפוז כללי,ירושלים,01401
32.6193937,35.3088985,בית חולים המרכזי בעמק,כללית,שד' יצחק רבין,לשכת בריאות עפולה,פרופ' בלונדהיים אורנה,04-6494000,04-6494000,יזרעאל,בתי חולים לאשפוז כללי,עפולה,01305
32.7047919,35.3111974,בית חולים המשפחה הקדושה,מיסיון,"רח' נמסאוי, ת.ד. 8",לשכת בריאות נצרת,"ד""ר חרבג'י אבראהים",04-6508914,04-6508941,יזרעאל,בתי חולים לאשפוז כללי,נצרת,01503
32.6994161,35.2960886,בית חולים הצרפתי סנט וינסנט דה פאול,מיסיון,"רח' פאולוס השישי, ת.ד. 294",לשכת בריאות נצרת,"ד""ר אליאס נאיל",04-6509000,04-6574747,יזרעאל,בתי חולים לאשפוז כללי,נצרת,01502
32.344821,34.857059,בית חולים לניאדו,ציבורי,"רח' דברי חיים, קרית צאנז",לשכת בריאות נתניה,פרופ' שמעוני צבי,09-8604666,09-8624805,השרון,בתי חולים לאשפוז כללי,נתניה,01604
31.7950281,35.2313263,בית חולים לעיניים סנט ג'והן,מיסיון,"רח' מוג'יר אדין 1 ת.ד. ,19960 שיח ג'ארח",לשכת בריאות ירושלים,"ד""ר קארת ג'ין",02-5828325,02-5828327,ירושלים,בתי חולים לאשפוז כללי,ירושלים,01505
32.0850698,34.8177492,בית חולים מעייני הישועה,ציבורי,רח' שרת 17,לשכת בריאות תל אביב-יפו,פרופ' רביד מרדכי,03-5771146,03-5771177,תל-אביב,בתי חולים לאשפוז כללי,בני ברק,01606
31.7942637,35.2326457,בית חולים סנט ג'וזף,מיסיון,"רח' נששבי ,13 ת.ד. ,19264 מזרח ירושלים",לשכת בריאות ירושלים,"ד""ר דיב מאהר",02-5828408,,ירושלים,בתי חולים לאשפוז כללי,ירושלים,01506
