name,idx,pop,חנויות ספרים,מספרות ועיצוב שיער,ציפורניים - בנייה וטיפוח
מזרעה,4.0,3700.0,0,2,0
הגלבוע,4.0,28900.0,0,0,0
מיתר,4.0,7300.0,2,3,3
באקה אל גרביה,,28100.0,0,7,1
כוכב יאיר,7.0,9000.0,2,3,1
פקיעין (בוקיעה),4.0,5700.0,0,1,0
זבולון,5.0,12700.0,0,0,0
חוף הכרמל,5.0,29300.0,0,0,0
מנשה,6.0,19000.0,0,0,1
רמת נגב,3.0,6800.0,0,0,0
כפר כמא,4.0,3200.0,0,2,0
מגד אל כרום,,14800.0,0,2,0
שבלי,4.0,5700.0,0,3,0
חדרה,7.0,88800.0,8,115,33
אופקים,4.0,25700.0,1,15,8
טירת כרמל,5.0,19300.0,1,22,10
קרית ים,6.0,39300.0,0,28,10
קדימה צורן,7.0,20600.0,1,19,7
גבעת שמואל,9.0,25300.0,2,18,6
שפרעם,5.0,40000.0,1,10,0
מעלות תרשיחא,4.0,21200.0,1,14,5
לקיה,4.0,11800.0,0,1,0
בענה,,7900.0,0,4,1
זרזיר,5.0,7500.0,0,2,0
עמק הירדן,4.0,12700.0,0,0,0
מגאר,4.0,21600.0,0,3,0
נצרת עילית,5.0,40200.0,2,9,12
ראשון לציון,9.0,244000.0,21,182,77
עראבה,4.0,24100.0,1,1,0
פרדסיה,7.0,5500.0,0,6,0
מטה אשר,4.0,26600.0,0,0,0
מזכרת בתיה,7.0,12700.0,0,11,1
הוד השרון,8.0,56700.0,5,35,25
ירוחם,3.0,9100.0,0,4,2
יסוד המעלה,3.0,1600.0,0,0,0
רמת ישי,5.0,7500.0,2,9,0
אורנית,7.0,8500.0,1,1,2
יואב,6.0,8000.0,0,2,0
מבשרת ציון,7.0,24400.0,3,23,1
נצרת,6.0,75700.0,3,28,2
ערערה בנגב,4.0,15800.0,0,0,0
טורעאן,4.0,13300.0,0,0,0
הר חברון,4.0,7500.0,0,0,0
גן רווה,8.0,5800.0,0,0,0
מסעדה,2.0,3500.0,0,0,0
קלנסווה,7.0,21400.0,0,0,0
גן יבנה,6.0,22400.0,2,10,6
גזר,7.0,25400.0,1,1,1
אבו גוש,6.0,7000.0,0,2,0
רעננה,8.0,70800.0,9,59,13
כפר יאסיף,4.0,9600.0,0,5,0
אפרת,5.0,8300.0,0,5,0
שער הנגב,5.0,7500.0,0,0,0
תל שבע,4.0,18700.0,0,0,0
אכסאל,5.0,13800.0,0,0,0
חבל אילות,1.0,3800.0,0,0,0
דבוריה,4.0,9900.0,0,3,0
מגדל העמק,5.0,25000.0,1,0,7
חצור הגלילית,3.0,8800.0,0,10,4
ברנר,7.0,7700.0,1,2,0
רמלה,8.0,73700.0,7,76,24
שומרון,5.0,36500.0,0,0,0
נווה מדבר,,7300.0,0,0,0
