name_municipality,population,index_peripheral_2004_cluster_from_1_to_10_1_compact_most
ראש פינה,2900.0,3.0
מזכרת בתיה,12700.0,7.0
יסוד המעלה,1600.0,3.0
אופקים,25700.0,4.0
אליכין,3400.0,6.0
מטולה,1600.0,2.0
יבנאל,4100.0,4.0
כפר תבור,3800.0,4.0
מגדל,1800.0,4.0
אשדוד,220100.0,7.0
מצפה רמון,5000.0,2.0
הגליל העליון,17300.0,3.0
רמת ישי,7500.0,5.0
תל מונד,11900.0,7.0
גן יבנה,22400.0,6.0
כפר יונה,21600.0,7.0
פרדסייה,5500.0,7.0
אבן יהודה,13300.0,7.0
קדימה-צורן,20600.0,7.0
מרום הגליל,14900.0,3.0
גני תקווה,16000.0,9.0
יקנעם עילית,21400.0,5.0
נתיבות,31300.0,5.0
כפר שמריהו,1900.0,8.0
הגליל התחתון,11600.0,4.0
מטה אשר,26600.0,4.0
בית דגן,7100.0,8.0
קריית עקרון,10700.0,7.0
אבו גוש,7000.0,6.0
אבו סנאן,13400.0,4.0
אכסאל,13800.0,5.0
בית ג'ן,11400.0,4.0
מגאר,21600.0,4.0
בועיינה-נוג'ידאת,9100.0,4.0
בענה,7900.0,
ג'ולס,6100.0,4.0
סאג'ור,4000.0,4.0
ג'ש (גוש חלב),3000.0,3.0
דבורייה,9900.0,4.0
דייר אל-אסד,11700.0,
דייר חנא,9800.0,4.0
דאלית אל-כרמל,16700.0,
חורפיש,6100.0,3.0
טורעאן,13300.0,4.0
יפיע,18300.0,5.0
ירכא,16200.0,4.0
כאבול,13200.0,4.0
כאוכב אבו אל-היג'א,3400.0,4.0
כפר יאסיף,9600.0,4.0
כפר כמא,3200.0,4.0
כפר כנא,21300.0,5.0
כפר מנדא,18500.0,4.0
עילוט,7600.0,5.0
מג'ד אל-כרום,14800.0,
מזרעה,3700.0,4.0
מעיליא,3200.0,4.0
משהד,7800.0,5.0
נחף,12200.0,4.0
אעבלין,12700.0,5.0
עיילבון,5500.0,4.0
עראבה,24100.0,4.0
עין מאהל,12500.0,5.0
עספיא,11800.0,
פסוטה,3000.0,3.0
טייבה,40900.0,7.0
פקיעין (בוקייעה),5700.0,4.0
פוריידיס,12400.0,6.0
שעב,6700.0,4.0
ג'סר א-זרקא,14000.0,6.0
ריינה,18400.0,5.0
ראמה,7400.0,4.0
אזור,12200.0,9.0
סביון*,3700.0,8.0
עמק הירדן,12700.0,4.0
ג'לג'וליה,9400.0,7.0
ג'ת,11200.0,
כפר ברא,3400.0,7.0
כפר קאסם,21800.0,7.0
ערערה,24000.0,6.0
קלנסווה,21400.0,7.0
כפר קרע,17700.0,6.0
עומר,7400.0,4.0
גבעת שמואל,25300.0,9.0
עמק המעיינות,12200.0,4.0
הגלבוע,28900.0,4.0
שלומי,6200.0,4.0
ירוחם,9100.0,3.0
מגדל העמק,25000.0,5.0
עמק יזרעאל,36600.0,5.0
שבלי - אום אל-גנם,5700.0,4.0
רכסים,10600.0,5.0
בסמת טבעון,7500.0,5.0
טובא-זנגרייה,6300.0,3.0
זרזיר,7500.0,5.0
כעביה-טבאש-חג'אג'רה,5000.0,5.0
ביר אל-מכסור,8700.0,5.0
מבשרת ציון,24400.0,7.0
אור עקיבא,17100.0,6.0
שדרות,23100.0,5.0
קריית מלאכי,21600.0,6.0
תל שבע,18700.0,4.0
כסיפה,19100.0,4.0
לקיה,11800.0,4.0
נצרת עילית,40200.0,5.0
מעלות-תרשיחא,21200.0,4.0
"בני עי""ש",7000.0,7.0
קריית יערים,3900.0,6.0
כרמיאל,44800.0,4.0
רהט,62500.0,5.0
ערערה-בנגב,15800.0,4.0
זבולון,12700.0,5.0
מודיעין-מכבים-רעות*,88800.0,7.0
כוכב יאיר,9000.0,7.0
חריש,1000.0,
כפר ורדים,5400.0,4.0
מיתר,7300.0,4.0
להבים,6400.0,4.0
שגב-שלום,9100.0,4.0
זמר,6500.0,6.0
ג'דיידה-מכר,20100.0,4.0
יאנוח-ג'ת,6300.0,4.0
כסרא-סמיע,8200.0,4.0
מגידו,11300.0,5.0
חורה,19400.0,4.0
שוהם,20400.0,7.0
אלעד,44800.0,7.0
"בסמ""ה",8900.0,6.0
מעלה עירון,14200.0,5.0
מנשה,19000.0,6.0
חוף הכרמל,29300.0,5.0
עמק חפר,41500.0,7.0
לב השרון,23000.0,7.0
חוף השרון,14600.0,7.0
דרום השרון,31200.0,8.0
חצור הגלילית,8800.0,3.0
טירת כרמל,19300.0,5.0
דימונה,33300.0,3.0
קריית טבעון,17800.0,5.0
אור יהודה,36200.0,8.0
חבל מודיעין,23100.0,7.0
נשר,23500.0,6.0
באר יעקב,18400.0,8.0
גדרה,26200.0,7.0
ערד,24400.0,3.0
מטה יהודה,53100.0,6.0
אילת,49700.0,1.0
בית שמש,103900.0,6.0
קריית אונו,37800.0,9.0
קריית גת,51500.0,6.0
ראש העין,42900.0,8.0
רמת השרון,44500.0,8.0
יבנה,42400.0,7.0
גן רווה,5800.0,8.0
אום אל-פחם,52500.0,6.0
טירה,24800.0,7.0
ברנר,7700.0,7.0
קריית שמונה,23100.0,3.0
חבל יבנה,6700.0,7.0
גזר,25400.0,7.0
ירושלים,865800.0,9.0
נחל שורק,8500.0,6.0
גדרות,5100.0,7.0
באר טוביה,22200.0,6.0
שפיר,10400.0,6.0
יואב,8000.0,6.0
קדומים,4300.0,6.0
אלקנה,3900.0,7.0
אריאל,18700.0,6.0
בית אל,6000.0,5.0
חוף אשקלון,16000.0,6.0
מעלה אפרים,1200.0,5.0
קריית ארבע,7100.0,4.0
מעלה אדומים,37500.0,6.0
קרני שומרון,6900.0,6.0
אפרת,8300.0,5.0
בית אריה,4800.0,6.0
עמנואל,3200.0,6.0
שער הנגב,7500.0,5.0
גבעת זאב,16200.0,6.0
אלפי מנשה,7600.0,7.0
אורנית,8500.0,7.0
הר אדר,3800.0,6.0
ביתר עילית,49400.0,6.0
מודיעין עילית,64200.0,6.0
אשכול,13100.0,4.0
שדות נגב,9500.0,5.0
עמק לוד,14700.0,8.0
חיפה,278900.0,6.0
בוקעאתא,6300.0,2.0
בני שמעון,9000.0,5.0
קצרין,6900.0,3.0
מרחבים,12900.0,4.0
מג'דל שמס,10700.0,2.0
מסעדה,3500.0,2.0
אלונה,2200.0,5.0
ע'ג'ר,2400.0,2.0
עין קנייא,1900.0,2.0
רמת נגב,6800.0,3.0
לכיש,10600.0,5.0
תל אביב -יפו,432900.0,10.0
תמר,1300.0,3.0
מעלה יוסף,9900.0,3.0
חבל אילות,3800.0,1.0
הערבה התיכונה,3200.0,2.0
מבואות החרמון,7000.0,3.0
משגב,26600.0,4.0
באקה אל-גרביה,28100.0,
בני ברק,182800.0,10.0
בת ים,128800.0,9.0
גבעתיים,57500.0,10.0
הרצלייה,91900.0,8.0
אל-בטוף,7500.0,4.0
חדרה,88800.0,7.0
בוסתן אל-מרג',7400.0,5.0
חולון,188800.0,9.0
טבריה,42600.0,4.0
נווה מדבר,7300.0,
קריית אתא,55400.0,6.0
אל קסום,8800.0,
כפר סבא,96900.0,8.0
לוד,72800.0,8.0
גולן,15600.0,3.0
אשקלון,130700.0,6.0
שומרון,36500.0,5.0
נס ציונה,46900.0,8.0
מטה בנימין,61700.0,6.0
נצרת,75700.0,6.0
מגילות ים המלח,1300.0,4.0
נתניה,207900.0,7.0
ערבות הירדן,4400.0,4.0
סח'נין,29300.0,4.0
גוש עציון,22100.0,5.0
עכו,47700.0,4.0
עפולה,44900.0,5.0
הר חברון,7500.0,4.0
פרדס חנה-כרכור,38000.0,6.0
פתח תקווה,231000.0,9.0
צפת,33400.0,3.0
קריית מוצקין,40200.0,6.0
ראשון לציון,244000.0,9.0
רחובות,132600.0,8.0
רעננה,70800.0,8.0
רמלה,73700.0,8.0
רמת גן,152600.0,10.0
שפרעם,40000.0,5.0
טמרה,32400.0,4.0
באר שבע,203600.0,5.0
נהרייה,54300.0,4.0
בית שאן,17300.0,4.0
זכרון יעקב,22600.0,6.0
יהוד,29200.0,8.0
קריית ביאליק,39100.0,6.0
קריית ים,39300.0,6.0
הוד השרון,56700.0,8.0
בנימינה-גבעת עדה*,14700.0,6.0
