avg_price,chain,item_code,item_name,num_branches,timestamp
82,7290725900003,1002,קפה קולומביה,1,2017-02-28
16.9,7290725900003,10129355,עוגיות תמרים 600 גרם,2,2017-02-28
9.9,7290725900003,10153589,תה 100 שקיקים,3,2017-02-28
25,7290725900003,10193486,חזה הודו מעושן 400 גר`,4,2017-02-28
14,7290725900003,10193493,חזה הודו מעושן 200 גר`,4,2017-02-28
17,7290725900003,10193998,קישקע פרווה 700 גר`,2,2017-02-28
18.9,7290725900003,102,100 יח* סינרים,2,2017-02-28
12.15,7290725900003,1043,כרוב לבן כשר,4,2017-02-28
19,7290725900003,1049,פילה וורדון קפוא,1,2017-02-28
5.9,7290725900003,105,סנדוויץ ללקוח,2,2017-02-28
4.6,7290725900003,1056,לחם אחיד 750גר,4,2017-02-28
4.4,7290725900003,1058,חלה רגילה/חלה ציפורים 500גר,3,2017-02-28
14.9,7290725900003,10650736,כרוב ניצנים,1,2017-02-28
9.9,7290725900003,1074,כרוב אדום כשר,3,2017-02-28
5.9,7290725900003,1091,צנונית בייבי,1,2017-02-28
8.9,7290725900003,1104,פטריות חורש מיני ארוז,2,2017-02-28
7.9,7290725900003,11179386260,כוסות נייר 6 יח` - זיגזג סגול,1,2017-02-28
11.725,7290725900003,11210000094,רוטב  טבסקו  אדום 60 מל,4,2017-02-28
12,7290725900003,11210007253,רוטב טבסקו שום  60 מל,3,2017-02-28
3.125,7290725900003,113249755,רולים אגוז 100 גרם,4,2017-02-28
8.5,7290725900003,1142,בונז`ור פיתה אסלית*5יח אפוי,1,2017-02-28
50,7290725900003,1150,משמש,1,2017-02-28
35,7290725900003,1151,פפאיה,2,2017-02-28
30,7290725900003,1152,קוביות פפאיה,1,2017-02-28
60,7290725900003,1156,קוקוס רצועות,1,2017-02-28
2.6,7290725900003,119,גפרורים,2,2017-02-28
9.1,7290725900003,11964658,מלח לימון,1,2017-02-28
2,7290725900003,1207,לחמניה המבורגר 60גר,1,2017-02-28
2,7290725900003,1215,לחמנית קשר`/חתונה 75גר,2,2017-02-28
2,7290725900003,1216,לחמנית אצבע/מיוחדת (481883),4,2017-02-28
2,7290725900003,1218,לחמניה לוסי כפרי,1,2017-02-28
1.8,7290725900003,1219,לחמניה ביס קטנה 50גר,1,2017-02-28
2.9,7290725900003,12227073,פיצה משולש אישי 90גר בד`ץ קפוא,2,2017-02-28
30.5,7290725900003,12300000031,כאמל בוקס,2,2017-02-28
31.5,7290725900003,12300000116,סיגריות ווינסטון סופ,1,2017-02-28
31.5,7290725900003,12300000123,וינסטון  בוקס,1,2017-02-28
97.85,7290725900003,12300000192,וינסטון,4,2017-02-28
19.9,7290725900003,12372629,קמח אגדתא כוסמין מלא 1 ק`ג,1,2017-02-28
9.9,7290725900003,134123,פלפל שחור טחון,1,2017-02-28
16.4,7290725900003,134147,מוסקט טחון,1,2017-02-28
10.9,7290725900003,134314,מיכל לפיצה,1,2017-02-28
9.95,7290725900003,134376,פפריקה בשמן,2,2017-02-28
9.95,7290725900003,134826,זעתר מעורב,2,2017-02-28
10.9,7290725900003,134833,כמון טחון,1,2017-02-28
9.9,7290725900003,134840,כורכום טחון,1,2017-02-28
10.9,7290725900003,134864,פפריקה חריפה,1,2017-02-28
3.9,7290725900003,13495113506,קליק ביסקוויט 75 גרם,4,2017-02-28
3.9,7290725900003,13495113513,קליק כדורים 75 גרם,4,2017-02-28
3.9,7290725900003,13495113520,קליק קורנפלקס 75 גרם כשלפ,4,2017-02-28
